candidate_id,parent_id,method_fingerprint,build,job_id,binary_sha256,fixture_sha256,k1_cycles,k1_correct,k2_cycles,k2_correct,k3_cycles,k3_correct,decision,evidence
all3_k2_a23_direct_h480_commit_20260916_0430,C01,kernel=sliding_attention_output;parent_head=cae1a94c15643d1aa4804dcf9d8f7af0faa5504a;parent_ops=867c3923bc26aaf5d8c3aa7e68ce790dae92f5ffb30d82f98d16cf9c9e4d4df1;parent_projection=6df018b998eb998eb86969f51ac7248f688f110b139c745687e3f806f3ba3d43;parent_rms=33c4e7b515bf331b2fdb30a549881416b49aef78228cd796fe4b46ad372dfe38;layout=K16_H1920_H120x16_direct_H480x64;dtype=projection_bf16_rms_f32_normalized_bf16_residual_bf16;mechanism=direct_projection_commit_to_rms_local_layout,COMPILE_FAIL,,,9801c5732d9f5bef89d544631c37f74dae1603df35b67a2cfdd6377915b7599e,,,,,,,REJECT_COMPILE,backups/all3_k2_a23_direct_h480_commit_20260916_0430/build.attempt3.stderr: TensorUnit lowering partitioning_infos must be broadcast or from_in_slice at projection.rs:341; no Arena submit
RESUME_USER_CHANGES_20260918_R1,USER_WORKTREE_PARENT,existing-user-changes;backup=backups/RESUME_PARENT_20260918_050044;RNGD_TIMEOUT=70,PASS,51590,, ,PASS,46023,PASS,291681,PASS,KEEP_PARENT,resume baseline all 3 correctness PASS; K1=102877
MX02_B47_MUL05_20260918,RESUME_USER_CHANGES_20260918_R1,known_mechanism=A22_B38;current_parent=user_staging;RNGD_TIMEOUT=70,PASS,51606,, ,PASS,47569,PASS,289914,PASS,REJECT_DUPLICATE_INTERACTION,duplicate div2-to-mul05; repeat job 51613 PASS K1=103133 K2=47731 K3=289202; K1=108440 first sample
MX02_B47_B38_TRUE_20260918,RESUME_USER_CHANGES_20260918_R1,current_user_parent+B47_staging+B38_true_geglu;RNGD_TIMEOUT=70,PASS,51667,, ,PASS,48973,PASS,290363,PASS,REJECT_PERFORMANCE,repeat 51675 PASS K1=104951 K2=49871 K3=296441; candidate median K3=293402 vs parent=291681
MX01_A042_CURRENT_20260918,RESUME_USER_CHANGES_20260918_R1,current_parent+A042_project_query;RNGD_TIMEOUT=70,PASS,51702,, ,PASS,54339,PASS,292647,PASS,REJECT_PERFORMANCE,repeat 51711 PASS K1=109326 K2=51019 K3=298043; K1 median=105371 vs parent=102877
MX01_A044_CURRENT_20260918,RESUME_USER_CHANGES_20260918_R1,current_parent+A044_normalize_native_input;RNGD_TIMEOUT=70,PASS,51732,, ,PASS,46769,PASS,292781,PASS,REJECT_PERFORMANCE,large K1 regression 109226 vs parent 102877; no repeat
MX01_A042_A044_CURRENT_20260918,RESUME_USER_CHANGES_20260918_R1,current_parent+A042_project_query+A044_normalize_native_input;RNGD_TIMEOUT=70,PASS,51763,, ,PASS,45453,PASS,286626,PASS,REJECT_GLOBAL_PERFORMANCE,repeat 51770 PASS K1=103796 K2=48111 K3=287636; medians 104730/46782/287131
MX33_MX16_NORMALIZE_WEIGHT_20260918,RESUME_USER_CHANGES_20260918_R1,normalize_weighted;move q_rms/k_rms weight.to_dm before root_mean_square;parent_source_sha256=5CB2494AC33FD7730F50B2CD9D68C7C0BB3B216A07CB8544F9D5971185710603;RNGD_TIMEOUT=70,PASS,51907,, ,PASS,46587,PASS,289352,PASS,REJECT_PERFORMANCE,all 3 correctness PASS; K1=98701 K2=46587 K3=289352; package_sha256=e48cf177493afb1a17c47ebf484c8c463da315d632054f339a187bea20ca5cdf; exact delta reverted after measurement
MX35_K3_PRELOAD_DOWN_GLOBAL_SCALE_20260918,RESUME_USER_CHANGES_20260918_R1,feedforward;move down_global_scale.to_dm before Up/Gate projection;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,51965/51968,, ,PASS,44937/51241,PASS,289036/290391,PASS,REJECT_PERFORMANCE,all 3 correctness PASS; candidate medians K1=105999.5 K2=48089 K3=289713.5; package_sha256=128f275ad0a86752fc5a25d894cfd73a59303abd7175846f3edc00da99ef67a1/21e4317761ebb33415b168d3aa9c11a3eb2c3873ecdfa492ff71f891ab3dfa14; K1/K2 regress and K3 signal insufficient; exact delta reverted
MX36_K3_DOWN_WEIGHT_BEFORE_UP_20260918,RESUME_USER_CHANGES_20260918_R1,project_up_and_gate;move down_weight/down_scale DMA before up projection;parent_mlp_sha256=B8C574333175B6714E83C8814ACE296F30FA91337ED0157CD3E8D9E110DB5677;RNGD_TIMEOUT=70,PASS,51982,, ,PASS,57427,PASS,291860,PASS,REJECT_PERFORMANCE,all 3 correctness PASS; K1=102969; K2 regressed to 57427 and K3=291860; exact delta reverted
MX37_K2_X_BEFORE_AUX_20260918,RESUME_USER_CHANGES_20260918_R1,sliding_attention_output;move activation x.to_dm before residual/scale/RMS auxiliary loads;parent_ops_sha256=867C3923BC26AAF5D8C3AA7E68CE790DAE92F5FFB30D82F98D16CF9C9E4D4DF1;RNGD_TIMEOUT=70,PASS,51987/51989,, ,PASS,46083/38959,PASS,289575/287159,PASS,INCONCLUSIVE_NO_PROMOTE,repeat candidate K1=97840/95731; paired parent control 51991=95357/48691/287400; K2/K3 variance dominates and current targets remain unmet; exact delta reverted
MX40_K2_OUTPUT_LANE_SEQUENTIAL_20260918,RESUME_USER_CHANGES_20260918_R1,project_output_cluster_split_k16;contract_lane Interleaved->Sequential;parent_projection_sha256=6DF018B998EB998EB86969F51AC7248F688F110B139C745687E3F806F3BA3D43;RNGD_TIMEOUT=70,PASS,52002,,,106443,PASS,46067,PASS,287689,PASS,REJECT_PERFORMANCE,K2 target=46067; reject only because K2 did not improve retained K2 control; K1/K3 are context only; exact delta reverted
